produce_name,category,season,is_available,price_per_unit,vendor
Grapes,Fruit,All-Year,True,96,Village Fresh
Pomegranate,Fruit,All-Year,True,242,Organic Roots
Guava,Fruit,All-Year,False,0,Fresh Veggies
Papaya,Fruit,All-Year,True,233,Village Fresh
Pineapple,Fruit,All-Year,True,233,Ratnagiri Fruits
Lychee,Fruit,All-Year,True,177,Green Farms
Muskmelon (Kharbuja),Fruit,All-Year,True,113,Dairy Delights
Chikoo,Fruit,All-Year,True,145,Green Farms
Kiwi,Fruit,All-Year,True,87,Organic Roots
Strawberry,Fruit,All-Year,True,163,Village Fresh
Cherry,Fruit,All-Year,False,0,Himalayan Organics
Pear,Fruit,All-Year,True,115,Fresh Veggies
Plum,Fruit,All-Year,True,240,Green Farms
Blueberry,Fruit,All-Year,True,119,Ratnagiri Fruits
Raspberry,Fruit,All-Year,True,154,Village Fresh
Peach,Fruit,All-Year,False,0,Organic Roots
Apricot,Fruit,All-Year,True,89,Healthy Pulses
Fig (Anjeer),Fruit,All-Year,True,115,Dairy Delights
Coconut,Fruit,All-Year,True,98,Dairy Delights
Avocado,Fruit,All-Year,True,80,Punjab Grains Co.
Toor Dal (Arhar),Pulse,All-Year,False,0,Village Fresh
Chana Dal,Pulse,All-Year,True,136,Himalayan Organics
Moong Dal,Pulse,All-Year,True,198,Ratnagiri Fruits
Masoor Dal,Pulse,All-Year,True,149,Ratnagiri Fruits
Urad Dal,Pulse,All-Year,True,190,Healthy Pulses
Kidney Beans (Rajma),Pulse,All-Year,True,130,Fresh Veggies
Chickpeas (Kabuli Chana),Pulse,All-Year,True,135,Organic Roots
Black Eyed Peas (Lobia),Pulse,All-Year,False,0,Organic Roots
Soya Beans,Pulse,All-Year,True,150,Organic Roots
Horse Gram (Kulthi),Pulse,All-Year,True,142,Fresh Veggies
Basmati Rice,Cereal,All-Year,True,118,Fresh Veggies
Brown Rice,Cereal,All-Year,True,109,Punjab Grains Co.
Wheat Flour (Atta),Cereal,All-Year,True,104,Organic Roots
Millet (Bajra),Cereal,All-Year,True,136,Village Fresh
Sorghum (Jowar),Cereal,All-Year,True,66,Punjab Grains Co.
Oats,Cereal,All-Year,True,51,Organic Roots
Quinoa,Cereal,All-Year,True,145,Dairy Delights
Semolina (Suji),Cereal,All-Year,True,64,Himalayan Organics
Barley (Jau),Cereal,All-Year,False,0,Green Farms
Buckwheat (Kuttu),Cereal,All-Year,True,112,Dairy Delights
Coriander Leaves (Dhania),Herb & Spice,All-Year,True,393,Healthy Pulses
Mint Leaves (Pudina),Herb & Spice,All-Year,True,340,Green Farms
Curry Leaves,Herb & Spice,All-Year,True,373,Punjab Grains Co.
Turmeric (Haldi),Herb & Spice,All-Year,True,343,Healthy Pulses
Cumin Seeds (Jeera),Herb & Spice,All-Year,True,483,Green Farms
Mustard Seeds (Sarson),Herb & Spice,All-Year,False,0,Fresh Veggies
Black Pepper (Kali Mirch),Herb & Spice,All-Year,True,453,Healthy Pulses
Cinnamon (Dalchini),Herb & Spice,All-Year,True,404,Green Farms
Cardamom (Elaichi),Herb & Spice,All-Year,True,229,Ratnagiri Fruits
Cloves (Laung),Herb & Spice,All-Year,True,220,Dairy Delights
Fenugreek Seeds (Methi Dana),Herb & Spice,All-Year,True,260,Fresh Veggies
Bay Leaf,Herb & Spice,All-Year,True,166,Green Farms
Asafoetida (Hing),Herb & Spice,All-Year,False,0,Himalayan Organics
Saffron (Kesar),Herb & Spice,All-Year,True,270,Organic Roots
Basil (Tulsi),Herb & Spice,All-Year,True,294,Punjab Grains Co.
Peanuts,Nut & Seed,All-Year,True,535,Punjab Grains Co.
Cashew Nuts,Nut & Seed,All-Year,True,418,Himalayan Organics
Almonds,Nut & Seed,All-Year,False,0,Green Farms
Walnuts,Nut & Seed,All-Year,False,0,Fresh Veggies
Pistachios,Nut & Seed,All-Year,False,0,Ratnagiri Fruits
Dates,Nut & Seed,All-Year,True,1001,Fresh Veggies
Flax Seeds,Nut & Seed,All-Year,True,341,Himalayan Organics
Sesame Seeds,Nut & Seed,All-Year,True,859,Organic Roots
Sunflower Seeds,Nut & Seed,All-Year,True,195,Fresh Veggies
Chia Seeds,Nut & Seed,All-Year,True,115,Ratnagiri Fruits
Cow Milk,Dairy & Farm,All-Year,True,180,Ratnagiri Fruits
Buffalo Milk,Dairy & Farm,All-Year,True,291,Ratnagiri Fruits
Yogurt (Dahi),Dairy & Farm,All-Year,True,364,Healthy Pulses
Paneer,Dairy & Farm,All-Year,True,624,Ratnagiri Fruits
White Eggs,Dairy & Farm,All-Year,True,79,Village Fresh
Brown Eggs,Dairy & Farm,All-Year,True,373,Organic Roots
Ghee,Dairy & Farm,All-Year,False,0,Ratnagiri Fruits
Butter,Dairy & Farm,All-Year,True,445,Punjab Grains Co.
